grower_id,Delivered,Bog,LotID,GTL,Rot,Debris,Color,Variety,GTL ,Lot Pack Out,Pack Out %,"Useable 
w 3 % Allow"
,11/2/2017,8,"4,877",6597,4.36,0,34,ST,"51,220","47,034",91.83%,"46,394"
,,,,,,,,,,,,
,11/3/2017,8,"4,879",6599,4.7,0,36,ST,"59,260","55,186",93.12%,"54,248"
,,,,,,,,,,,,
,11/3/2017,8,"4,879",6600,4.7,0,36,ST,"7,560","7,040",93.12%,"6,921"
,,,,,,,,,,,,
,11/3/2017,8,"4,880",6601,4.86,0,42,ST,"50,740","46,944",92.52%,"46,071"
,,,,,,,,,,,,
,11/3/2017,6,"4,884",6606,4.19,0,22,HO,"53,420","48,011",89.87%,"47,440"
,,,,,,,,,,,,
,11/3/2017,6,"4,885",6607,4.71,0,25,HO,"54,000","47,957",88.81%,"47,137"
,,,,,,,,,,,,
,11/3/2017,6,"4,885",6611,4.71,0,25,HO,"52,760","46,855",88.81%,"46,054"
,,,,,,,,,,,,
,11/4/2017,6,"4,890",6612,7.92,0,28,HO,"52,720","45,057",85.47%,"42,840"
,,,,,,,,,,,,
,11/4/2017,6,"4,890",6613,7.92,0,28,HO,"51,520","44,032",85.47%,"41,865"
,,,,,,,,,,,,
,11/4/2017,6,"4,894",6622,5.26,0,25,HO,"57,080","50,336",88.19%,"49,198"
,,,,,,,,,,,,
,Total For Grower:,,,,,0,29,,"2,009,860","1,825,374",90.82%,"1,776,747"
,,,,,,,,,,,,
,,,,,,,,,,,,
,Bott02,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,11/24/2017,7,"4,932",6692,9.51,0,32,OE,"51,480","38,761",75.29%,"36,238"
,,,,,,,,,,,,
,11/27/2017,11,"4,934",6693,14.31,0,42,OH,"32,900","29,174",88.67%,"25,874"
,,,,,,,,,,,,
,11/27/2017,4,"4,935",6696,18.6,0,50,OS,"39,120","35,618",91.05%,"30,062"
,,,,,,,,,,,,
,11/28/2017,15,"4,936",6701,63.31,0,49,OH,"50,640","42,218",83.37%,"16,756"
,,,,,,,,,,,,
,11/27/2017,17,"4,937",6697,10.16,0,34,OH,"44,840","39,418",87.91%,"36,596"
,,,,,,,,,,,,
,11/27/2017,7,"4,938",6694,48.11,0,34,OH,"41,660","37,034",88.90%,"20,328"
,,,,,,,,,,,,
,11/27/2017,10,"4,939",6695,28.11,0,31,OB,"38,520","35,633",92.51%,"26,686"
,,,,,,,,,,,,
,Total For Grower:,,,,,0,39,,"299,160","257,856",86.19%,"192,539"
,,,,,,,,,,,,
,,,,,,,,,,,,
,Bral01,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,10/30/2017,#5A,"4,846",6558,3.16,0,40,ST,"37,880","35,936",94.87%,"35,936"
,,,,,,,,,,,,
,10/31/2017,#5A,"4,857",6571,5.76,0,30,ST,"37,840","35,730",94.42%,"34,744"
,,,,,,,,,,,,
,Total For Grower:,,,,,0,35,,"75,720","71,666",94.65%,"70,680"
,,,,,,,,,,,,
,,,,,,,,,,,,
,Cham01,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,10/24/2017,little,"4,788",6479,2.13,0,31,ST,"13,720","12,370",90.16%,"12,370"
,,,,,,,,,,,,
,Total For Grower:,,,,,0,31,,"13,720","12,370",90.16%,"12,370"
,,,,,,,,,,,,
,,,,,,,,,,,,
,Chan01,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,11/4/2017,CHAN#2,"4,892",6619,6.3,0,33,ST,"15,260","11,924",78.14%,"11,531"
,,,,,,,,,,,,
,11/8/2017,CHANEB,"4,909",6639,2.42,0,45,MX,"26,960","24,435",90.63%,"24,435"
,,,,,,,,,,,,
,11/9/2017,CHANEB,"4,909",6641,2.42,0,45,MX,"6,940","6,290",90.63%,"6,290"
,,,,,,,,,,,,
,Total For Grower:,,,,,0,42,,"49,160","42,649",86.76%,"42,256"
,,,,,,,,,,,,
,,,,,,,,,,,,
,Conw02,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,11/1/2017,4,"4,860",6575,1.62,0,37,ST,"32,620","30,980",94.97%,"30,980"
,,,,,,,,,,,,
,11/1/2017,4,"4,860",6576,1.62,0,37,ST,"30,220","28,701",94.97%,"28,701"
,,,,,,,,,,,,
,Total For Grower:,,,,,0,37,,"62,840","59,681",94.97%,"59,681"
,,,,,,,,,,,,
,,,,,,,,,,,,
,Coul01,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,10/26/2017,HARW,"4,806",6501,8.78,0,65,EB,"18,920","14,107",74.56%,"13,292"
,,,,,,,,,,,,
,Total For Grower:,,,,,0,65,,"18,920","14,107",74.56%,"13,292"
,,,,,,,,,,,,
,,,,,,,,,,,,
,Deca01,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,9/26/2017,MP10,"4,413",6007,9.51,0,59,SN,"54,180","51,058",94.24%,"47,734"
,,,,,,,,,,,,
,9/26/2017,MP10,"4,413",6008,9.51,0,59,SN,"18,820","17,736",94.24%,"16,581"
,,,,,,,,,,,,
,9/28/2017,ROUN9,"4,421",6023,2.8,0,70,GD,"8,520","8,121",95.32%,"8,121"
,,,,,,,,,,,,
,9/28/2017,C AR01,"4,426",6031,3.33,0,40,GD,"8,260","7,894",95.57%,"7,894"
,,,,,,,,,,,,
,9/29/2017,CAR02,"4,430",6038,2.9,0,47,GD,"2,100","2,026",96.48%,"2,026"
,,,,,,,,,,,,
,9/29/2017,CAR03,"4,433",6042,2.9,0,65,GD,"1,640","1,435",87.50%,"1,435"
,,,,,,,,,,,,
,9/29/2017,CAR19,"4,437",6047,0.8,0,38,EB,"33,660","31,575",93.81%,"31,575"
,,,,,,,,,,,,
,10/2/2017,CAR23,"4,443",6053,1.68,0,23,BL,"39,800","37,224",93.53%,"37,224"
,,,,,,,,,,,,
,10/2/2017,CAR23,"4,443",6058,1.68,0,23,BL,"20,980","19,622",93.53%,"19,622"
,,,,,,,,,,,,
,10/10/2017,MP6,"4,527",6154,1.65,0,26,ST,"27,320","26,028",95.27%,"26,028"
,,,,,,,,,,,,
,10/10/2017,MP3,"4,530",6158,4.16,0,26,ST,"47,480","42,343",89.18%,"41,852"
,,,,,,,,,,,,
,10/10/2017,MP3,"4,530",6161,4.16,0,26,ST,"43,740","39,008",89.18%,"38,555"
,,,,,,,,,,,,
,10/10/2017,MP3,"4,530",6162,4.16,0,26,ST,"47,600","42,450",89.18%,"41,958"
,,,,,,,,,,,,
,10/10/2017,MP3,"4,530",6164,4.16,0,26,ST,"45,620","40,685",89.18%,"40,213"
,,,,,,,,,,,,
,10/10/2017,MP3,"4,530",6167,4.16,0,26,ST,"48,120","42,914",89.18%,"42,416"
,,,,,,,,,,,,
,10/11/2017,MP3,"4,536",6169,6.56,0,23,ST,"47,480","41,818",88.08%,"40,329"
,,,,,,,,,,,,
,10/11/2017,MP3,"4,536",6177,6.56,0,23,ST,"19,340","17,034",88.08%,"16,427"
,,,,,,,,,,,,
,10/11/2017,MP5,"4,545",6183,1.9,0,26,ST,"22,480","21,828",97.10%,"21,828"
,,,,,,,,,,,,
,10/11/2017,MP4,"4,547",6187,2.43,0,29,ST,"33,660","31,634",93.98%,"31,634"
,,,,,,,,,,,,
,10/11/2017,MP3,"4,548",6172,4.29,0,26,ST,"44,820","41,453",92.49%,"40,918"
,,,,,,,,,,,,
,10/12/2017,Joll2,"4,552",6192,2.12,0,24,ST,"44,840","42,725",95.28%,"42,725"
,,,,,,,,,,,,
,10/12/2017,Joll2,"4,553",6193,0.96,0,33,ST,"41,600","39,621",95.24%,"39,621"
,,,,,,,,,,,,
,10/12/2017,Joll2,"4,559",6201,2.68,0,27,ST,"20,240","19,336",95.53%,"19,336"
,,,,,,,,,,,,
,10/12/2017,Joll3,"4,565",6209,0.91,0,30,GR,"40,300","38,302",95.04%,"38,302"
,,,,,,,,,,,,
,10/12/2017,ROUN11,"4,567",6216,1,0,27,ST,"42,220","41,276",97.76%,"41,276"
,,,,,,,,,,,,
,10/13/2017,ROUN11,"4,569",6218,1.4,0,24,ST,"27,180","26,677",98.15%,"26,677"
,,,,,,,,,,,,
,10/13/2017,ROUN11,"4,570",6219,0.7,0,26,ST,"44,040","42,846",97.29%,"42,846"
,,,,,,,,,,,,
,Deca01,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,10/13/2017,Joll1,"4,575",6224,2.55,0,25,ST,"47,360","45,570",96.22%,"45,570"
,,,,,,,,,,,,
,10/13/2017,CARM11,"4,576",6225,0.59,0,27,ST,"37,480","35,839",95.62%,"35,839"
,,,,,,,,,,,,
,10/13/2017,Joll1,"4,579",6229,2.99,0,24,ST,"45,540","42,313",92.91%,"42,313"
,,,,,,,,,,,,
,10/13/2017,CARM10,"4,580",6231,1.64,0,48,EB,"27,080","25,662",94.76%,"25,662"
,,,,,,,,,,,,
,10/13/2017,CARM09,"4,583",6235,0.35,0,35,ST,"24,400","23,799",97.54%,"23,799"
,,,,,,,,,,,,
,10/13/2017,Joll1,"4,585",6237,2.06,0,26,ST,"45,340","42,230",93.14%,"42,230"
,,,,,,,,,,,,
,10/13/2017,CARM12,"4,586",6238,1.92,0,23,ST,"33,600","32,230",95.92%,"32,230"
,,,,,,,,,,,,
,10/14/2017,ROUN1,"4,591",6244,2.41,0,28,ST,"42,520","39,529",92.97%,"39,529"
,,,,,,,,,,,,
,10/14/2017,CARM13,"4,593",6247,0.92,0,28,ST,"34,460","32,774",95.11%,"32,774"
,,,,,,,,,,,,
,10/14/2017,LP1,"4,595",6249,0.89,0,24,ST,"46,800","45,543",97.31%,"45,543"
,,,,,,,,,,,,
,10/14/2017,CARM14,"4,599",6253,1.92,0,36,ST,"19,580","18,478",94.37%,"18,478"
,,,,,,,,,,,,
,10/14/2017,LP1,"4,600",6254,2.32,0,25,ST,"44,440","41,986",94.48%,"41,986"
,,,,,,,,,,,,
,10/14/2017,LP1,"4,602",6256,0.38,0,26,ST,"20,340","19,496",95.85%,"19,496"
,,,,,,,,,,,,
,10/14/2017,ROUN6,"4,605",6259,0.2,0,20,HO,"47,200","45,646",96.71%,"45,646"
,,,,,,,,,,,,
,10/14/2017,CARM15,"4,606",6260,1.83,0,25,ST,"48,320","45,843",94.87%,"45,843"
,,,,,,,,,,,,
,10/14/2017,ROUN6,"4,608",6262,0.24,0,27,HO,"11,740","11,373",96.87%,"11,373"
,,,,,,,,,,,,
,10/14/2017,CAR08,"4,611",6265,2.44,0,35,ST,"49,060","45,209",92.15%,"45,209"
,,,,,,,,,,,,
,10/14/2017,CAR08,"4,611",6267,2.44,0,35,ST,"9,660","8,902",92.15%,"8,902"
,,,,,,,,,,,,
,10/16/2017,CAR10,"4,614",6271,2.53,0,30,ST,"48,300","45,687",94.59%,"45,687"
,,,,,,,,,,,,
,10/16/2017,CAR10,"4,615",6272,2.4,0,35,ST,"31,860","29,128",91.42%,"29,128"
,,,,,,,,,,,,
,10/16/2017,ROUN7,"4,618",6277,1.75,0,26,HO,"45,240","43,165",95.41%,"43,165"
,,,,,,,,,,,,
,10/16/2017,ROUN7,"4,618",6279,1.75,0,26,HO,"11,860","11,316",95.41%,"11,316"
,,,,,,,,,,,,
,10/16/2017,CAR09,"4,620",6280,2.3,0,26,ST,"21,900","20,857",95.24%,"20,857"
,,,,,,,,,,,,
,10/16/2017,CARM16,"4,626",6287,1.96,0,32,ST,"58,840","55,253",93.90%,"55,253"
,,,,,,,,,,,,
,10/16/2017,CARM16,"4,626",6290,1.96,0,32,ST,"33,320","31,288",93.90%,"31,288"
,,,,,,,,,,,,
,10/16/2017,LP2,"4,628",6289,1.74,0,24,ST,"46,640","44,898",96.27%,"44,898"
,,,,,,,,,,,,
,10/16/2017,LP2,"4,633",6295,2.21,0,28,ST,"44,300","41,784",94.32%,"41,784"
,,,,,,,,,,,,
,Deca01,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,10/16/2017,CAR07,"4,638",6301,2.5,0,38,ST,"58,340","56,419",96.71%,"56,419"
,,,,,,,,,,,,
,10/16/2017,LP2,"4,639",6302,1.32,0,27,ST,"29,320","27,779",94.74%,"27,779"
,,,,,,,,,,,,
,10/16/2017,CAR07,"4,640",6303,1.27,0,30,ST,"31,860","30,231",94.89%,"30,231"
,,,,,,,,,,,,
,10/17/2017,LP3,"4,642",6304,2.11,0,28,ST,"43,440","41,203",94.85%,"41,203"
,,,,,,,,,,,,
,10/17/2017,CAR25,"4,646",6308,2.5,0,36,ST,"13,720","13,411",97.75%,"13,411"
,,,,,,,,,,,,
,10/17/2017,LP3,"4,652",6313,2.66,0,33,ST,"44,220","41,958",94.88%,"41,958"
,,,,,,,,,,,,
,10/17/2017,LP3,"4,656",6319,1.47,0,26,ST,"44,580","43,058",96.59%,"43,058"
,,,,,,,,,,,,
,10/17/2017,LP3,"4,664",6327,0.76,0,31,ST,"46,740","45,418",97.17%,"45,418"
,,,,,,,,,,,,
,10/17/2017,CARM17,"4,668",6331,1.2,0,37,ST,"45,360","43,832",96.63%,"43,832"
,,,,,,,,,,,,
,10/17/2017,LP3,"4,670",6334,1.65,0,33,ST,"45,740","44,255",96.75%,"44,255"
,,,,,,,,,,,,
