grower_id,deliver_date,Bog,LotID,GTL,Rot,Debris,Color,Variety,GTL ,Lot Pack Out,Pack Out %,"Useable 
w 3 % Allow",kqf_pre,kqf_final
Deca03,9/21/2015,ZPD,"3,001",3925,,,,PD,"5,340","5,386",100.86%,"5,386",5,7
Deca01,9/22/2015,MP3,"3,003",3929,54.3,0,9,ST,"30,260","24,874",82.20%,"12,114",5,7
Deca01,9/22/2015,MP3,"3,003",3930,54.3,0,9,ST,"29,460","24,217",82.20%,"11,794",5,7
Deca01,9/22/2015,MP3,"3,003",3931,54.3,0,9,ST,"4,000","3,288",82.20%,"1,601",5,7
Deca03,9/22/2015,ZPD,"3,001",3926,,,,PD,"6,860","6,919",100.86%,"6,919",5,7
Deca03,9/22/2015,ZPD,"3,001",3928,,,,PD,"5,120","5,164",100.86%,"5,164",5,7
Deca03,9/22/2015,ZPD,"3,001",3932,,,,PD,"5,240","5,285",100.86%,"5,285",5,7
Deca03,9/22/2015,ZPD,"3,001",3934,,,,PD,"2,400","2,421",100.86%,"2,421",5,7
Deca03,9/22/2015,ZPD,"3,001",3935,,,,PD,"5,660","5,709",100.86%,"5,709",5,7
Reze02,9/22/2015,#2,"3,002",3927,1.05,0,11,BL,"54,180","52,260",96.46%,"52,260",5,7
Reze02,9/22/2015,#1,"3,004",3933,3.5,0,13,BL,"55,480","53,525",96.48%,"53,525",5,7
Deca03,9/23/2015,ZPD,"3,001",3936,,,,PD,"5,140","5,184",100.86%,"5,184",5,7
Deca03,9/23/2015,ZPD,"3,001",3938,,,,PD,"5,780","5,830",100.86%,"5,830",5,7
Deca03,9/23/2015,ZPD,"3,001",3940,,,,PD,"5,960","6,011",100.86%,"6,011",5,7
Reze02,9/23/2015,#1,"3,005",3937,0.7,0,12,BL,"28,340","27,460",96.89%,"27,460",5,7
Reze02,9/23/2015,#3,"3,006",3939,2.6,0,13,BL,"54,520","52,989",97.19%,"52,989",5,7
Ashl05,9/24/2015,2,"3,007",3943,25,0,6,ST,"42,040","39,168",93.17%,"30,551",5,7
Ashl05,9/24/2015,1,"3,008",3944,28.9,0,8,ST,"46,880","44,272",94.44%,"32,806",5,7
Deca03,9/24/2015,ZPD,"3,001",3942,,,,PD,"5,840","5,890",100.86%,"5,890",5,7
Deca03,9/24/2015,ZPD,"3,001",3945,,,,PD,"6,100","6,152",100.86%,"6,152",5,7
Deca03,9/28/2015,ZPD,"3,010",3948,,,,PD,"5,340","5,396",101.04%,"5,396",5,7
Reze02,9/28/2015,#4,"3,009",3947,3.11,0,25,BL,"51,480","48,995",95.17%,"48,995",5,7
Reze02,9/28/2015,#4,"3,009",3949,3.11,0,25,BL,"49,240","46,863",95.17%,"46,863",5,7
Deca03,9/29/2015,ZPD,"3,010",3951,,,,PD,"5,800","5,860",101.04%,"5,860",5,7
Deca03,9/29/2015,ZPD,"3,010",3953,,,,PD,"2,480","2,506",101.04%,"2,506",5,7
Deca03,9/29/2015,ZPD,"3,010",3955,,,,PD,"3,600","3,637",101.04%,"3,637",5,7
Hann01,9/29/2015,D9,"3,013",3956,2.5,0,31,BL,"34,700","33,376",96.18%,"33,376",5,7
Pink02,9/29/2015,#12,"3,011",3950,0.41,0,28,BL,"40,400","38,887",96.25%,"38,887",5,7
Pink02,9/29/2015,#8,"3,015",3958,2.3,0,35,MX,"26,780","25,333",94.60%,"25,333",5,7
Reze02,9/29/2015,#6,"3,012",3952,1.79,0,28,BL,"53,600","51,022",95.19%,"51,022",5,7
Reze02,9/29/2015,#6,"3,012",3954,1.79,0,28,BL,"30,160","28,709",95.19%,"28,709",5,7
Reze02,9/29/2015,#6,"3,014",3957,1.45,0,31,BL,"52,380","50,526",96.46%,"50,526",5,7
Deca01,9/30/2015,MP4,"3,020",3965,14.7,0,27,ST,"26,420","23,833",90.21%,"21,045",5,7
Hann01,9/30/2015,D10,"3,016",3959,1.34,0,33,BL,"28,260","27,079",95.82%,"27,079",5,7
Pink02,9/30/2015,#8,"3,015",3961,2.3,0,35,MX,"24,940","23,592",94.60%,"23,592",5,7
Reze02,9/30/2015,#6,"3,014",3960,1.45,0,31,BL,"18,600","17,941",96.46%,"17,941",5,7
Reze02,9/30/2015,#7,"3,017",3962,1.62,0,34,BL,"53,300","50,421",94.60%,"50,421",5,7
Reze02,9/30/2015,#7,"3,018",3963,0.79,0,29,BL,"46,740","44,116",94.39%,"44,116",5,7
Reze02,9/30/2015,#7,"3,019",3964,1.83,0,30,BL,"25,180","23,991",95.28%,"23,991",5,7
Ashl05,10/1/2015,4,"3,028",3981,19.1,0,24,ST,"38,100","32,982",86.57%,"27,672",5,7
Deca01,10/1/2015,MP5,"3,022",3967,21.4,0,27,ST,"19,700","17,549",89.08%,"14,320",5,7
Deca01,10/1/2015,MP6,"3,025",3971,15.3,0,27,ST,"20,860","18,918",90.69%,"16,591",5,7
Deca03,10/1/2015,ZPD,"3,021",3966,,,,PD,"2,880","2,888",100.26%,"2,888",5,7
Deca03,10/1/2015,ZPD,"3,021",3975,,,,PD,"5,520","5,534",100.26%,"5,534",5,7
Deca03,10/1/2015,ZPD,"3,021",3980,,,,PD,"5,160","5,174",100.26%,"5,174",5,7
Deca03,10/1/2015,ZPD,"3,021",3984,,,,PD,"5,340","5,354",100.26%,"5,354",5,7
Deca03,10/1/2015,ZPD,"3,021",3985,,,,PD,"5,160","5,174",100.26%,"5,174",5,7
Hann01,10/1/2015,D3,"3,027",3973,2.1,0,31,BL,"45,620","42,956",94.16%,"42,956",5,7
Hann01,10/1/2015,D3,"3,027",3977,2.1,0,31,BL,"44,760","42,147",94.16%,"42,147",5,7
Hann01,10/1/2015,D4,"3,030",3983,1.11,0,27,BL,"21,820","20,525",94.07%,"20,525",5,7
Padu01,10/1/2015,Rock#5,,,,,,BL,,,,,5,7
Pink01,10/1/2015,BShant,"3,023",3968,4.25,0,33,EB,"15,580","14,863",95.40%,"14,677",5,7
Pink01,10/1/2015,BShant,"3,023",3969,4.25,0,33,EB,"17,120","16,332",95.40%,"16,128",5,7
Pink01,10/1/2015,BShant,"3,026",3972,2.1,0,27,EB,"8,540","8,006",93.75%,"8,006",5,7
Pink01,10/1/2015,BShant,"3,026",3978,2.1,0,27,EB,"17,740","16,632",93.75%,"16,632",5,7
Pink01,10/1/2015,Ramp,"3,029",3982,2.4,0,30,MX,"13,300","12,759",95.93%,"12,759",5,7
Reze02,10/1/2015,#8,"3,024",3970,1.05,0,25,BL,"51,940","50,252",96.75%,"50,252",5,7
Reze02,10/1/2015,#8,"3,024",3974,1.05,0,25,BL,"46,100","44,601",96.75%,"44,601",5,7
Reze02,10/1/2015,#8,"3,024",3976,1.05,0,25,BL,"33,900","32,798",96.75%,"32,798",5,7
