Site,Rep,wt_p_berry,rot_pct,yield_per_ac_barrel,yield_p_ha_barrel,yield_p_ac_kg,yield_p_ac_lb,tacy,absorbance
4,4,1.861792453,5.357142857,189.5216133,21233.51802,8596.566,18952.16133,44,0.38
4,5,1.632666667,17.58241758,117.5927112,13174.78734,5333.922,11759.27112,34,0.29
5,1,1.999116022,9.950248756,347.4867017,38931.52349,15761.7504,34748.67017,35,0.3
5,2,1.724487179,12.84916201,258.3486416,28944.72266,11718.5112,25834.86416,37,0.32
5,3,1.659215686,3.773584906,243.7900013,27313.60975,11058.1416,24379.00013,48,0.41
5,4,1.77950495,39.52095808,172.6005552,19337.72584,7829.0388,17260.05552,31,0.27
5,5,1.881650485,6.363636364,186.1220364,20852.63809,8442.3636,18612.20364,34,0.29
6,1,1.615246914,14.28571429,251.2901979,28153.91264,11398.3452,25129.01979,22,0.19
6,2,1.479534884,17.30769231,122.1927037,13690.15877,5542.5744,12219.27037,27,0.23
6,3,1.393023256,16.23376623,172.5717452,19334.49804,7827.732,17257.17452,19,0.16
6,4,1.67056,23.7804878,200.5366268,22467.61202,9096.1992,20053.66268,21,0.18
6,5,1.856565657,22.65625,176.5091084,19775.63016,8006.328,17650.91084,22,0.19
7,1,1.630862069,9.375,181.6756971,20354.48158,8240.6808,18167.56971,29,0.25
7,2,1.54046875,5.185185185,189.3583568,21215.22718,8589.1608,18935.83568,56,0.48
7,3,1.815648148,10.74380165,188.3115944,21097.95059,8541.6804,18831.15944,35,0.3
7,4,0.931176471,4.225352113,60.80825213,6812.801424,2758.2192,6080.825213,33,0.28
7,5,1.27703125,4.47761194,78.48797294,8793.592236,3560.1588,7848.797294,31,0.27
9,1,1.5234,5.063291139,219.4455732,24586.12213,9953.8956,21944.55732,34,0.29
9,2,1.385437956,17.22054381,364.5518097,40843.45465,16535.8116,36455.18097,23,0.2
9,3,1.571990521,21.56133829,318.5326776,35687.58851,14448.4164,31853.26776,34,0.29
9,4,1.579661017,12.59259259,179.0059728,20055.37248,8119.584,17900.59728,38,0.33
9,5,1.600925926,13.82978723,249.0622266,27904.29642,11297.286,24906.22266,27,0.23
