grower_id,deliver_date,Bog,LotID,GTL,Rot,Debris,Color,Variety,GTL ,Pack Out %,kqf_pre,kqf_final
Bett01,10/16/2013,1,"2,126",2697,5,0,37,MX,"54,420",88.39%,1,2
Bett01,10/16/2013,1,"2,134",2705,4.54,0,41,MX,"54,280",94.33%,1,2
Bett01,10/17/2013,1,"2,140",2714,4.91,0,28,MX,"55,140",90.87%,1,2
Bett01,10/17/2013,1,"2,148",2725,5,0,44,MX,"29,360",92.67%,1,2
Bott05,10/23/2013,1,"2,253",2850,1.53,0,58,EB,"38,520",94.06%,1,2
Chan01,10/22/2013,1,"2,235",2829,2.22,0,53,ST,"27,260",91.40%,1,2
Jenn01,10/31/2013,1,"2,347",2959,1.23,0,40,HO,"48,020",89.43%,1,2
Jenn01,10/31/2013,1,"2,347",2960,1.23,0,40,HO,"6,460",89.43%,1,2
Luca02,11/18/2013,1,"2,420",3073,9.34,0,36,HO,"41,460",89.52%,1,2
Olso01,9/23/2013,1,"1,818",2300,15.5,0,35,BL,"23,220",86.77%,1,2
Pett02,10/5/2013,1,"1,920",2421,15,0,27,BL,"18,820",95.05%,1,2
Pett02,10/6/2013,1,"1,925",2427,15,0,30,BL,"8,000",93.05%,1,2
Bott02,10/2/2013,2,"1,882",2372,6.17,0,24,ST,"40,420",95.98%,1,2
Bott05,10/23/2013,2,"2,262",2860,2.64,0,60,EB,"52,700",96.36%,1,2
Jenn01,10/29/2013,2,"2,328",2938,1.64,0,38,ST,"44,060",95.46%,1,2
Jenn01,10/29/2013,2,"2,329",2939,2.68,0,31,ST,"44,060",93.91%,1,2
Jenn01,10/29/2013,2,"2,330",2940,2.98,0,37,ST,"44,780",95.26%,1,2
Luca02,11/19/2013,2,"2,419",3079,25.91,0,34,HO,"26,600",82.04%,1,2
Luca02,11/19/2013,2,"2,419",3080,25.91,0,34,HO,"27,600",82.04%,1,2
Olso01,9/24/2013,2,"1,828",2310,22,0,35,BL,"8,660",80.89%,1,2
Perr03,11/4/2013,2,"2,367",2984,1.67,0,31,BL,"19,660",90.20%,1,2
Pett02,10/28/2013,2,"2,326",2936,3.7,0,37,HO,"23,240",95.56%,1,2
Pett02,10/29/2013,2,"2,331",2941,3.26,0,33,HO,"7,800",95.27%,1,2
Bett01,10/7/2013,3,"1,934",2439,12.89,0,32,ST,"37,160",90.00%,1,2
Bett01,10/7/2013,3,"1,939",2444,12.66,0,26,ST,"43,360",88.90%,1,2
Bett01,10/7/2013,3,"1,939",2450,12.66,0,26,ST,"31,580",88.90%,1,2
Bott02,10/3/2013,3,"1,890",2380,3.52,0,33,EB,"32,860",90.69%,1,2
Chan01,10/23/2013,3,"2,249",2845,6.48,0,40,ST,"29,800",82.68%,1,2
Jenn01,10/25/2013,3,"2,283",2886,0.34,0,39,ST,"45,880",92.20%,1,2
Jenn01,10/25/2013,3,"2,284",2887,1.01,0,28,ST,"44,620",95.91%,1,2
Jenn01,10/25/2013,3,"2,284",2891,1.01,0,28,ST,"6,140",95.91%,1,2
Luca02,11/20/2013,3,"2,423",3085,14.7,0,34,HO,"44,680",77.15%,1,2
Luca02,11/20/2013,3,"2,425",3088,15.94,0,31,HO,"26,560",81.94%,1,2
Olso01,10/10/2013,3,"1,982",2512,2.26,0,23,ST,"22,280",91.59%,1,2
Olso01,10/10/2013,3,"1,988",2523,6.69,0,25,ST,"15,280",91.60%,1,2
Pett02,10/11/2013,3,"2,029",2572,13.97,0,36,ST,"8,100",92.22%,1,2
Pett02,10/12/2013,3,"2,039",2583,11,0,42,ST,"7,160",91.42%,1,2
Bett01,10/2/2013,4,"1,879",2368,8.99,0,29,ST,"41,460",85.36%,1,2
Bott02,10/20/2013,4,"2,203",2793,2.6,0,26,ST,"46,900",97.04%,1,2
Bott02,10/21/2013,4,"2,216",2808,0.38,0,38,ST,"49,320",94.46%,1,2
Bott02,10/22/2013,4,"2,232",2827,0.08,0,25,ST,"14,660",94.98%,1,2
Bott05,10/29/2013,4,"2,335",2945,7.7,0,45,EB,"48,720",92.61%,1,2
Olso01,10/9/2013,4,"1,970",2491,10.82,0,31,BL,"20,400",84.55%,1,2
Bett01,10/3/2013,5,"1,893",2386,19.07,0,34,ST,"43,740",82.76%,1,2
Bett01,10/3/2013,5,"1,893",2391,19.07,0,34,ST,"25,700",82.76%,1,2
Bott05,10/30/2013,5,"2,343",2953,3.58,0,72,EB,"40,600",94.75%,1,2
Bett01,10/30/2013,6,"2,342",2954,2.12,0,42,HO,"41,560",87.86%,1,2
Bett01,10/31/2013,6,"2,351",2965,5.41,0,47,HO,"43,180",88.42%,1,2
Bett01,11/1/2013,6,"2,359",2974,3.38,0,56,HO,"43,020",87.10%,1,2
Bett01,11/1/2013,6,"2,362",2978,2.33,0,51,HO,"21,840",85.07%,1,2
Bett01,11/1/2013,6,"2,364",2976,4.53,0,58,HO,"49,520",87.82%,1,2
Olso01,10/10/2013,7,"1,994",2532,7.85,0,33,ST,"23,460",85.16%,1,2
Olso01,10/10/2013,7,"2,002",2543,11.04,0,24,ST,"23,160",84.67%,1,2
Olso01,10/11/2013,7,"2,012",2552,12.69,0,31,ST,"21,500",88.40%,1,2
Olso01,10/11/2013,7,"2,026",2568,6.08,0,30,ST,"25,700",81.92%,1,2
Bett01,11/4/2013,9,"2,369",2987,3.99,0,51,HO,"53,780",79.40%,1,2
Bett01,11/4/2013,9,"2,369",2988,3.99,0,51,HO,"44,220",79.40%,1,2
Bett01,11/5/2013,9,"2,372",2992,3.9,0,41,HO,"28,500",77.84%,1,2
Bett01,11/5/2013,9,"2,372",2995,3.9,0,41,HO,"27,620",77.84%,1,2
Bett01,11/5/2013,9,"2,375",2997,5.72,0,45,HO,"29,480",79.40%,1,2
Bett01,10/9/2013,10,"1,967",2488,9.21,0,37,ST,"37,380",86.83%,1,2
Bett01,10/9/2013,10,"1,967",2492,9.21,0,37,ST,"38,520",86.83%,1,2
Bett01,10/11/2013,11,"2,010",2548,9.26,0,44,ST,"47,040",95.42%,1,2
Bott02,10/19/2013,11,"2,189",2772,10.44,0,41,ST,"52,280",91.65%,1,2
Kopa01,10/18/2013,11,"2,176",2754,8.16,0,22,ST,"26,700",92.11%,1,2
Bott02,10/8/2013,13,"1,958",2473,3.2,0,28,EB,"49,400",89.33%,1,2
Bott02,10/9/2013,13,"1,963",2480,4.28,0,30,EB,"49,400",88.92%,1,2
Bott02,10/9/2013,13,"1,969",2490,8.05,0,27,EB,"22,980",91.24%,1,2
Bott02,11/8/2013,15,"2,386",3015,4.2,0,41,HO,"26,920",87.87%,1,2
Bott02,11/18/2013,21,"2,415",3069,3.09,0,41,ST,"52,740",96.53%,1,2
Bott02,11/11/2013,23,"2,391",3025,1.72,0,58,ST,"49,640",91.46%,1,2
Bott02,11/11/2013,23,"2,391",3026,1.72,0,58,ST,"50,340",91.46%,1,2
Smit02,10/16/2013,1-Mar,"2,128",2699,3.1,0,28,ST,"35,640",93.88%,1,2
Smit02,10/18/2013,2-Mar,"2,169",2748,4.77,0,35,ST,"51,760",84.41%,1,2
Smit02,10/18/2013,2-Mar,"2,177",2755,6.95,0,44,ST,"50,460",89.99%,1,2
Smit02,10/19/2013,4-Mar,"2,188",2767,2.35,0,37,ST,"52,320",89.43%,1,2
Smit02,10/19/2013,4-Mar,"2,188",2773,2.35,0,37,ST,"50,620",89.43%,1,2
Smit02,10/19/2013,4-Mar,"2,192",2778,5.27,0,33,ST,"10,860",85.82%,1,2
Pike01,10/18/2013,#1,"2,181",2760,15.1,0,45,ST,"19,820",91.35%,1,2
Pike01,10/19/2013,#1,"2,194",2780,13.43,0,30,ST,"13,000",90.15%,1,2
Reze02,9/12/2013,#1,"1,810",2291,5.27,0,15,BL,"49,940",95.42%,1,2
