"","grower_id","date","bog","rot","debris","color","variety","kqf_pre","kqf_final"
"95","Reze02","10/8/2013","#12",3.74,0,24,"ST",1,2
"96","Reze02","10/9/2013","#12",3.02,0,29,"ST",1,2
"97","Nant01","10/18/2013","#12a",25.55,0,44,"ST",1,2
"98","Nant01","10/10/2013","#12b",12.25,0,31,"BL",1,2
"99","Nant01","10/7/2013","#13",12.45,0,44,"EB",1,2
"100","Nant01","10/8/2013","#13",8.65,0,42,"EB",1,2
"101","Reze02","10/11/2013","#13",6.48,0,27,"ST",1,2
"102","Reze02","10/11/2013","#13",9.75,0,23,"ST",1,2
"103","Reze02","10/11/2013","#13",6.53,0,25,"ST",1,2
"104","Nant01","10/6/2013","#14",4.28,0,52,"EB",1,2
"105","Nant01","10/7/2013","#14",8.15,0,68,"EB",1,2
"106","Reze02","10/10/2013","#14",4.32,0,26,"ST",1,2
"107","Reze02","10/10/2013","#14",3.59,0,28,"ST",1,2
"108","Reze02","10/10/2013","#14",4.76,0,23,"ST",1,2
"109","Reze02","10/9/2013","#15",1.97,0,26,"ST",1,2
"110","Reze02","10/9/2013","#15",1.97,0,26,"ST",1,2
"111","Reze02","10/9/2013","#15",1.72,0,29,"ST",1,2
"112","Reze02","10/7/2013","#16",2.69,0,25,"ST",1,2
"113","Reze02","10/7/2013","#16",1.59,0,26,"ST",1,2
"114","Nant01","10/5/2013","#16A",4.41,0,50,"EB",1,2
"115","Nant01","10/4/2013","#16B",7.89,0,41,"EB",1,2
"116","Nant01","10/14/2013","#19",3.21,0,40,"EB",1,2
"117","Pike01","10/14/2013","#2",14.62,0,31,"ST",1,2
"118","Pike01","10/14/2013","#2",10,0,34,"ST",1,2
"119","Pike01","10/15/2013","#2",8.67,0,35,"ST",1,2
"120","Reze02","9/12/2013","#2",2,0,22,"BL",1,2
"121","Ward01","10/29/2013","#2",6.22,0,24,"HO",1,2
"122","Nant01","10/14/2013","#22",5.84,0,43,"EB",1,2
"123","Nant01","10/1/2013","#23",7.59,0,40,"EB",1,2
"124","Pike01","10/23/2013","#3",8.72,0,30,"ST",1,2
"125","Pike01","10/24/2013","#3",16.26,0,33,"ST",1,2
"126","Reze02","9/26/2013","#3",1.81,0,24,"BL",1,2
"127","Wain01","11/18/2013","#3",4.88,0,43,"ST",1,2
"128","Wain01","11/18/2013","#3",4.88,0,43,"ST",1,2
"129","Wain01","11/18/2013","#3",5.48,0,51,"HO",1,2
"130","Ward01","10/29/2013","#3",7.6,0,34,"HO",1,2
"131","Pett02","10/10/2013","#4",15,0,28,"BL",1,2
"132","Pett02","10/10/2013","#4",15,0,28,"BL",1,2
"133","Pett02","10/10/2013","#4",11.84,0,29,"BL",1,2
"134","Pike01","10/25/2013","#4",6.3,0,45,"ST",1,2
"135","Pike01","10/26/2013","#4",9.68,0,49,"ST",1,2
"136","Reze02","9/25/2013","#4",1.41,0,25,"BL",1,2
"137","Reze02","9/26/2013","#4",0.77,0,24,"BL",1,2
"138","Reze02","9/26/2013","#4",1.15,0,26,"BL",1,2
"139","Pike01","10/6/2013","#5",2.4,0,33,"BL",1,2
"140","Wain01","11/7/2013","#5",3.22,0,36,"ST",1,2
"141","Wain01","11/7/2013","#5",1.1,0,42,"ST",1,2
