date,grower_id,Bog,LotID,GTL,Rot,Debris,Color,Variety,GTL.1,Pack Out %,kqf_pre,kqf_final,Lot Pack Out,Useable w3% allow,"Useable 
w 3 % Allow",GTLID,BogID,# Totes,"Ave Bin 
Wgt.",NetWeight
2012-09-24,Deca01,CAR03,"1,034",1270,,,,EB,39600,90.87%,,,,,,,,,,
2012-09-24,Deca01,CAR03,"1,039",1275,,,,EB,29460,92.38%,,,,,,,,,,
2012-09-24,Deca03,ZPD,"1,025",1260,,,,PD,1640,99.12%,,,,,,,,,,
2012-09-24,Deca03,ZPD,"1,025",1261,,,,PD,9380,99.12%,,,,,,,,,,
2012-09-24,Deca03,ZPD,"1,025",1262,,,,PD,460,99.12%,,,,,,,,,,
2012-09-24,Deca03,ZPD,"1,025",1263,,,,PD,1040,99.12%,,,,,,,,,,
2012-09-24,Medi01,#3,"1,029",1264,,,,BL,7800,95.78%,,,,,,,,,,
2012-09-24,Medi01,#2,"1,035",1271,,,,EB,61740,96.46%,,,,,,,,,,
2012-09-24,Medi01,A1,"1,040",1276,,,,EB,36620,95.60%,,,,,,,,,,
2012-09-24,Medi01,#5,"1,042",1278,,,,EB,15900,93.74%,,,,,,,,,,
2012-09-24,Medi01,A7,"1,045",1281,,,,ST,3500,91.00%,,,,,,,,,,
2012-09-24,Reze01,Ell 4,"1,031",1266,,,,BL,50660,92.70%,,,,,,,,,,
2012-09-24,Reze01,Ell 4,"1,031",1269,,,,BL,29040,92.70%,,,,,,,,,,
2012-09-24,Reze01,Ell 4,"1,036",1272,,,,BL,50540,94.81%,,,,,,,,,,
2012-09-24,Reze01,Ell 4,"1,037",1273,,,,BL,29440,95.99%,,,,,,,,,,
2012-09-24,Reze01,Ell 3,"1,044",1280,,,,BL,50980,96.08%,,,,,,,,,,
2012-09-24,Reze01,Ell 3,"1,046",1282,,,,BL,4180,95.14%,,,,,,,,,,
2012-09-25,Deca03,ZPD,"1,047",1284,,,,PD,5680,99.07%,,,,,,,,,,
2012-09-25,Deca03,ZPD,"1,052",1289,,,,PD,4900,99.27%,,,,,,,,,,
2012-09-25,Medi01,#6,"1,048",1285,,,,EB,59800,96.04%,,,,,,,,,,
2012-09-25,Medi01,#6,"1,049",1286,,,,EB,41760,96.52%,,,,,,,,,,
2012-09-25,Medi01,#6,"1,051",1288,,,,EB,41800,94.52%,,,,,,,,,,
2012-09-25,Medi01,A8,"1,053",1290,,,,EB,23840,97.01%,,,,,,,,,,
2012-09-25,Medi01,#1,"1,057",1294,,,,EB,56840,95.64%,,,,,,,,,,
2012-09-25,Onse04,All,"1,054",1291,,,,EB,35700,79.11%,,,,,,,,,,
2012-09-25,Pett02,1,"1,050",1287,,,,BL,12480,95.54%,,,,,,,,,,
2012-09-25,Pett02,1,"1,055",1292,,,,BL,22420,96.20%,,,,,,,,,,
2012-09-25,Pett02,1,"1,056",1293,,,,BL,12860,96.74%,,,,,,,,,,
2012-09-25,Reze01,Ell 3,"1,046",1283,,,,BL,29080,95.14%,,,,,,,,,,
2012-09-26,Deca01,CAR06,"1,060",1297,,,,EB,47840,87.94%,,,,,,,,,,
2012-09-26,Deca01,STU5,"1,067",1305,,,,ST,23560,95.11%,,,,,,,,,,
2012-09-26,Deca01,MP1A,"1,069",1307,,,,ST,26020,88.45%,,,,,,,,,,
2012-09-26,Deca01,MP1A,"1,069",1310,,,,ST,15200,88.45%,,,,,,,,,,
2012-09-26,Deca03,ZPD,"1,064",1301,,,,PD,3860,97.97%,,,,,,,,,,
2012-09-26,Deca03,ZPD,"1,064",1302,,,,PD,2900,97.97%,,,,,,,,,,
2012-09-26,Deca03,ZPD,"1,073",1313,,,,EB,8680,99.42%,,,,,,,,,,
2012-09-26,Hann03,B1,"1,058",1295,,,,ST,18200,96.49%,,,,,,,,,,
2012-09-26,Hann03,MEL A6,"1,063",1300,,,,BL,35480,94.49%,,,,,,,,,,
2012-09-26,Hann03,B3,"1,072",1312,,,,EB,58420,93.70%,,,,,,,,,,
2012-09-26,Nant01,#23,"1,062",1299,,,,EB,45700,88.48%,,,,,,,,,,
2012-09-26,Nant01,#23,"1,071",1308,,,,EB,39980,89.24%,,,,,,,,,,
2012-09-26,Pett02,1,"1,061",1298,,,,BL,4980,94.80%,,,,,,,,,,
2012-09-26,Reze01,Lanz 4,"1,059",1296,,,,BL,50560,93.95%,,,,,,,,,,
2012-09-26,Reze01,Lanz 6,"1,066",1304,,,,BL,13440,83.66%,,,,,,,,,,
2012-09-26,Vali01,FREE,"1,065",1303,,,,EB,48560,93.20%,,,,,,,,,,
2012-09-26,Vali01,FREE,"1,068",1306,,,,EB,48920,95.56%,,,,,,,,,,
2012-09-26,Vali01,FREE,"1,070",1309,,,,EB,47980,95.15%,,,,,,,,,,
2012-09-26,Vali01,FREE,"1,070",1311,,,,EB,34060,95.15%,,,,,,,,,,
2012-09-27,Bett01,4,"1,077",1317,,,,ST,46900,96.21%,,,,,,,,,,
2012-09-27,Bett01,4,"1,080",1320,,,,ST,37260,94.28%,,,,,,,,,,
2012-09-27,Bett01,4,"1,080",1321,,,,ST,29420,94.28%,,,,,,,,,,
2012-09-27,Bett01,5,"1,084",1326,,,,ST,51740,90.92%,,,,,,,,,,
2012-09-27,Bett01,5,"1,084",1330,,,,ST,39180,90.92%,,,,,,,,,,
2012-09-27,Deca03,ZPD,"1,076",1316,,,,MX,4960,97.56%,,,,,,,,,,
2012-09-27,Deca03,ZPD,"1,085",1327,,,,PD,4720,99.65%,,,,,,,,,,
2012-09-27,Deca03,ZPD,"1,085",1329,,,,PD,620,99.65%,,,,,,,,,,
2012-09-27,Deca03,ZPD,"1,085",1331,,,,PD,560,99.65%,,,,,,,,,,
2012-09-27,Hann03,B4,"1,075",1315,,,,BL,17160,97.25%,,,,,,,,,,
2012-09-27,Hann03,B2,"1,079",1319,,,,EB,40580,96.81%,,,,,,,,,,
2012-09-27,Hann03,B2,"1,083",1325,,,,EB,36940,95.27%,,,,,,,,,,
2012-09-27,Hann03,B2,"1,086",1328,,,,EB,41200,94.77%,,,,,,,,,,
2012-09-27,Nant01,#17,"1,074",1314,,,,EB,31480,90.79%,,,,,,,,,,
2012-09-27,Reze01,Lanz 7,"1,078",1318,,,,BL,49620,91.94%,,,,,,,,,,
2012-09-27,Reze01,Lanz 7,"1,081",1322,,,,BL,27380,90.04%,,,,,,,,,,
